Rank,Team Name,Team,Points,Playoffs
1,Nashville Predators,NSH,117,1
2,Winnipeg Jets,WPG,114,1
3,Tampa Bay Lightning,TBL,113,1
4,Boston Bruins,BOS,112,1
5,Vegas Golden Knights,VGK,109,1
6,Toronto Maple Leafs,TOR,105,1
7,Washington Capitals,WSH,105,1
8,Minnesota Wild,MIN,101,1
9,Anaheim Ducks,ANA,101,1
10,Pittsburgh Penguins,PIT,100,1
11,San Jose Sharks,SJS,100,1
12,Los Angeles Kings,LAK,98,1
13,Philadelphia Flyers,PHI,98,1
14,Columbus Blue Jackets,CBJ,97,1
15,New Jersey Devils,NJD,97,1
16,Florida Panthers,FLA,96,0
17,Colorado Avalanche,COL,95,1
18,St. Louis Blues,STL,94,0
19,Dallas Stars,DAL,92,0
20,Calgary Flames,CGY,84,0
21,Carolina Hurricanes,CAR,83,0
22,New York Islanders,NYI,80,0
23,Edmonton Oilers,EDM,78,0
24,New York Rangers,NYR,77,0
25,Chicago Blackhawks,CHI,76,0
26,Vancouver Canucks,VAN,73,0
27,Detroit Red Wings,DET,73,0
28,Montreal Canadiens,MTL,71,0
29,Arizona Coyotes,ARI,70,0
30,Ottawa Senators,OTT,67,0
31,Buffalo Sabres,BUF,62,0
